order_id,supplier_id,supplier_name,supplier_country,category,destination_market,destination_hub,month,month_num,order_date,quantity_units,unit_price_eur,order_value_eur,contracted_sla_days,actual_delivery_days,on_time_delivery,delay_days,quality_pass,defect_rate_pct,invoice_accurate,temperature_breach,payment_terms_days
ORD00014,SUP002,Bayern Transport AG,Germany,Chilled,Italy,Milan,2024-01,1,2024-01-09,648,7.08,4586.8,3,3,1,0,1,1.09,0,0,45
ORD00015,SUP002,Bayern Transport AG,Germany,Chilled,Spain,Madrid,2024-01,1,2024-01-03,98,7.77,761.73,3,3,1,0,1,0.48,1,0,45
ORD00016,SUP002,Bayern Transport AG,Germany,Chilled,Spain,Madrid,2024-01,1,2024-01-13,660,13.9,9173.47,3,12,0,9,1,1.66,1,0,45
ORD00017,SUP002,Bayern Transport AG,Germany,Chilled,France,Paris CDG,2024-01,1,2024-01-22,599,11.1,6648.42,3,3,1,0,1,1.02,1,0,45
ORD00018,SUP002,Bayern Transport AG,Germany,Chilled,France,Paris CDG,2024-01,1,2024-01-24,786,21.55,16937.36,3,3,1,0,1,0.54,1,0,45
ORD00019,SUP002,Bayern Transport AG,Germany,Chilled,Netherlands,Rotterdam,2024-01,1,2024-01-27,704,11.69,8231.73,3,3,1,0,1,1.12,1,0,45
ORD00020,SUP003,Rhenus Supply Chain,Germany,Frozen,Italy,Milan,2024-01,1,2024-01-11,550,7.96,4376.68,4,4,1,0,0,10.91,1,0,30
ORD00021,SUP003,Rhenus Supply Chain,Germany,Frozen,France,Paris CDG,2024-01,1,2024-01-08,630,33.54,21127.43,4,6,0,2,1,2.45,0,0,30
ORD00022,SUP003,Rhenus Supply Chain,Germany,Frozen,Germany,Frankfurt,2024-01,1,2024-01-05,725,14.4,10437.24,4,4,1,0,1,0.8,1,0,30
ORD00023,SUP003,Rhenus Supply Chain,Germany,Frozen,Germany,Frankfurt,2024-01,1,2024-01-18,797,16.67,13285.83,4,4,1,0,1,1.2,1,0,30
ORD00024,SUP003,Rhenus Supply Chain,Germany,Frozen,Italy,Milan,2024-01,1,2024-01-15,173,7.91,1368.19,4,4,1,0,1,0.06,1,0,30
ORD00025,SUP003,Rhenus Supply Chain,Germany,Frozen,France,Paris CDG,2024-01,1,2024-01-03,774,12.28,9504.26,4,4,1,0,1,2.72,1,0,30
ORD00026,SUP003,Rhenus Supply Chain,Germany,Frozen,Germany,Frankfurt,2024-01,1,2024-01-09,735,17.03,12518.81,4,4,1,0,1,2.17,1,0,30
ORD00027,SUP003,Rhenus Supply Chain,Germany,Frozen,Germany,Frankfurt,2024-01,1,2024-01-26,534,9.06,4840.71,4,4,1,0,1,0.29,1,0,30
ORD00028,SUP003,Rhenus Supply Chain,Germany,Frozen,Spain,Madrid,2024-01,1,2024-01-28,796,19.44,15476.79,4,4,1,0,1,1.94,1,0,30
ORD00029,SUP003,Rhenus Supply Chain,Germany,Frozen,Poland,Warsaw,2024-01,1,2024-01-28,161,11.94,1921.76,4,4,1,0,1,1.35,1,0,30
ORD00030,SUP003,Rhenus Supply Chain,Germany,Frozen,Germany,Frankfurt,2024-01,1,2024-01-28,127,13.93,1768.58,4,4,1,0,1,1.65,1,0,30
ORD00031,SUP003,Rhenus Supply Chain,Germany,Frozen,Poland,Warsaw,2024-01,1,2024-01-01,145,11.93,1729.36,4,8,0,4,1,1.46,1,0,30
ORD00032,SUP003,Rhenus Supply Chain,Germany,Frozen,France,Paris CDG,2024-01,1,2024-01-06,438,40.69,17822.04,4,4,1,0,1,2.78,1,0,30
ORD00033,SUP004,Hellmann Worldwide,Germany,Dry Goods,Spain,Madrid,2024-01,1,2024-01-05,244,15.51,3785.29,6,6,1,0,1,1.74,1,0,60
ORD00034,SUP004,Hellmann Worldwide,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-11,108,9.21,994.19,6,6,1,0,1,2.76,1,0,60
ORD00035,SUP004,Hellmann Worldwide,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-17,132,23.57,3111.17,6,6,1,0,1,0.2,1,0,60
ORD00036,SUP004,Hellmann Worldwide,Germany,Dry Goods,Spain,Madrid,2024-01,1,2024-01-04,633,8.48,5370.06,6,6,1,0,1,1.86,1,0,60
ORD00037,SUP004,Hellmann Worldwide,Germany,Dry Goods,Italy,Milan,2024-01,1,2024-01-19,585,17.34,10142.44,6,6,1,0,1,2.01,1,0,60
ORD00038,SUP004,Hellmann Worldwide,Germany,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-13,184,5.86,1078.52,6,6,1,0,1,0.95,1,0,60
ORD00039,SUP004,Hellmann Worldwide,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-01,519,8.04,4171.2,6,6,1,0,1,0.3,1,0,60
ORD00040,SUP004,Hellmann Worldwide,Germany,Dry Goods,Italy,Milan,2024-01,1,2024-01-09,185,17.24,3189.86,6,6,1,0,1,2.64,1,0,60
ORD00041,SUP004,Hellmann Worldwide,Germany,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-15,606,22.6,13695.9,6,6,1,0,1,2.96,1,0,60
ORD00042,SUP004,Hellmann Worldwide,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-22,617,17.02,10503.81,6,6,1,0,1,2.82,1,0,60
ORD00043,SUP004,Hellmann Worldwide,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-04,616,14.74,9082.3,6,6,1,0,1,0.63,1,0,60
ORD00044,SUP004,Hellmann Worldwide,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-21,320,13.44,4301.6,6,6,1,0,1,2.72,1,0,60
ORD00045,SUP004,Hellmann Worldwide,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-14,333,7.46,2483.35,6,6,1,0,1,0.39,1,0,60
ORD00046,SUP004,Hellmann Worldwide,Germany,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-24,502,10.9,5470.04,6,6,1,0,1,0.03,1,0,60
ORD00047,SUP004,Hellmann Worldwide,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-05,608,12.41,7543.46,6,6,1,0,1,1.66,1,0,60
ORD00048,SUP004,Hellmann Worldwide,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-10,423,26.5,11211.61,6,6,1,0,1,2.58,1,0,60
ORD00049,SUP004,Hellmann Worldwide,Germany,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-22,305,18.55,5658.82,6,6,1,0,1,1.68,1,0,60
ORD00050,SUP004,Hellmann Worldwide,Germany,Dry Goods,Italy,Milan,2024-01,1,2024-01-24,208,6.47,1345.66,6,6,1,0,1,0.49,1,0,60
ORD00051,SUP004,Hellmann Worldwide,Germany,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-14,75,18.37,1377.97,6,6,1,0,1,2.35,1,0,60
ORD00052,SUP004,Hellmann Worldwide,Germany,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-28,304,12.88,3916.13,6,6,1,0,1,0.32,1,0,60
ORD00053,SUP004,Hellmann Worldwide,Germany,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-16,277,11.13,3084.12,6,6,1,0,1,1.05,1,0,60
ORD00054,SUP004,Hellmann Worldwide,Germany,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-08,278,21.21,5897.35,6,6,1,0,1,0.98,1,0,60
ORD00055,SUP004,Hellmann Worldwide,Germany,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-09,409,26.16,10700.67,6,6,1,0,1,2.94,1,0,60
ORD00056,SUP004,Hellmann Worldwide,Germany,Dry Goods,France,Paris CDG,2024-01,1,2024-01-04,317,24.89,7890.13,6,6,1,0,1,0.8,1,0,60
ORD00057,SUP004,Hellmann Worldwide,Germany,Dry Goods,Spain,Madrid,2024-01,1,2024-01-12,796,10.27,8174.52,6,6,1,0,1,2.95,1,0,60
ORD00058,SUP005,Geodis France SAS,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-14,51,14.79,754.52,4,4,1,0,1,2.06,0,0,30
ORD00059,SUP005,Geodis France SAS,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-22,251,20.38,5115.51,4,4,1,0,1,1.99,1,0,30
ORD00060,SUP005,Geodis France SAS,France,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-22,177,28.12,4977.06,4,4,1,0,1,0.93,1,0,30
ORD00061,SUP005,Geodis France SAS,France,Dry Goods,Spain,Madrid,2024-01,1,2024-01-23,352,13.59,4782.62,4,4,1,0,1,1.99,1,0,30
ORD00062,SUP005,Geodis France SAS,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-06,680,15.74,10702.86,4,4,1,0,1,2.5,1,0,30
ORD00063,SUP005,Geodis France SAS,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-14,643,9.93,6386.92,4,4,1,0,1,1.33,1,0,30
ORD00064,SUP005,Geodis France SAS,France,Dry Goods,Italy,Milan,2024-01,1,2024-01-16,223,9.49,2116.72,4,4,1,0,1,1.99,1,0,30
ORD00065,SUP005,Geodis France SAS,France,Dry Goods,France,Paris CDG,2024-01,1,2024-01-27,290,25.92,7518.11,4,4,1,0,1,0.6,1,0,30
ORD00066,SUP005,Geodis France SAS,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-16,675,34.02,22963.5,4,4,1,0,1,1.24,1,0,30
ORD00067,SUP005,Geodis France SAS,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-23,763,16.65,12706.24,4,4,1,0,1,0.44,1,0,30
ORD00068,SUP005,Geodis France SAS,France,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-28,159,28.52,4534.36,4,4,1,0,1,2.41,1,0,30
ORD00069,SUP005,Geodis France SAS,France,Dry Goods,Spain,Madrid,2024-01,1,2024-01-02,620,20.68,12824.7,4,4,1,0,1,1.37,1,0,30
ORD00070,SUP005,Geodis France SAS,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-17,622,12.51,7778.42,4,4,1,0,0,11.02,1,0,30
ORD00071,SUP005,Geodis France SAS,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-17,486,20.68,10052.91,4,4,1,0,1,2.69,1,0,30
ORD00072,SUP006,Bolloré Logistics,France,Chilled,Poland,Warsaw,2024-01,1,2024-01-08,702,41.87,29390.21,3,3,1,0,1,1.45,1,0,45
ORD00073,SUP006,Bolloré Logistics,France,Chilled,Belgium,Brussels,2024-01,1,2024-01-10,290,19.06,5526.53,3,3,1,0,1,1.62,1,0,45
ORD00074,SUP006,Bolloré Logistics,France,Chilled,Belgium,Brussels,2024-01,1,2024-01-05,773,42.43,32800.55,3,3,1,0,1,0.99,1,0,45
ORD00075,SUP006,Bolloré Logistics,France,Chilled,Poland,Warsaw,2024-01,1,2024-01-14,448,5.24,2347.16,3,13,0,10,0,3.18,1,0,45
ORD00076,SUP006,Bolloré Logistics,France,Chilled,Spain,Madrid,2024-01,1,2024-01-01,410,29.26,11998.24,3,3,1,0,1,2.67,1,0,45
ORD00077,SUP006,Bolloré Logistics,France,Chilled,Belgium,Brussels,2024-01,1,2024-01-18,667,20.27,13521.69,3,11,0,8,1,1.31,1,0,45
ORD00078,SUP006,Bolloré Logistics,France,Chilled,Belgium,Brussels,2024-01,1,2024-01-26,464,16.71,7752.88,3,3,1,0,1,2.76,0,0,45
ORD00079,SUP006,Bolloré Logistics,France,Chilled,Spain,Madrid,2024-01,1,2024-01-19,627,20.32,12740.39,3,3,1,0,1,1.29,1,0,45
ORD00080,SUP006,Bolloré Logistics,France,Chilled,Netherlands,Rotterdam,2024-01,1,2024-01-13,385,7.19,2766.69,3,3,1,0,1,2.28,1,0,45
ORD00081,SUP006,Bolloré Logistics,France,Chilled,Poland,Warsaw,2024-01,1,2024-01-14,308,17.38,5353.47,3,3,1,0,1,2.25,1,0,45
ORD00082,SUP006,Bolloré Logistics,France,Chilled,Germany,Frankfurt,2024-01,1,2024-01-21,120,23.2,2783.86,3,3,1,0,1,2.26,0,0,45
ORD00083,SUP006,Bolloré Logistics,France,Chilled,France,Paris CDG,2024-01,1,2024-01-20,206,40.63,8369.24,3,3,1,0,1,0.34,0,0,45
ORD00084,SUP007,Norbert Dentressangle,France,Frozen,Germany,Frankfurt,2024-01,1,2024-01-20,671,12.94,8685.29,4,16,0,12,1,2.46,0,0,30
ORD00085,SUP007,Norbert Dentressangle,France,Frozen,France,Paris CDG,2024-01,1,2024-01-10,639,11.2,7156.54,4,4,1,0,0,6.57,1,0,30
ORD00086,SUP007,Norbert Dentressangle,France,Frozen,Belgium,Brussels,2024-01,1,2024-01-27,692,13.06,9034.75,4,4,1,0,1,0.9,1,0,30
ORD00087,SUP007,Norbert Dentressangle,France,Frozen,Poland,Warsaw,2024-01,1,2024-01-19,92,26.51,2438.9,4,4,1,0,1,1.11,1,0,30
ORD00088,SUP007,Norbert Dentressangle,France,Frozen,Poland,Warsaw,2024-01,1,2024-01-14,551,19.77,10891.95,4,4,1,0,0,8.72,1,0,30
ORD00089,SUP007,Norbert Dentressangle,France,Frozen,Spain,Madrid,2024-01,1,2024-01-06,584,12.87,7517.48,4,9,0,5,1,2.76,1,0,30
ORD00090,SUP007,Norbert Dentressangle,France,Frozen,Poland,Warsaw,2024-01,1,2024-01-24,656,21.69,14225.49,4,4,1,0,1,2.49,1,0,30
ORD00091,SUP007,Norbert Dentressangle,France,Frozen,Germany,Frankfurt,2024-01,1,2024-01-25,525,17.61,9242.73,4,4,1,0,1,1.01,1,0,30
ORD00092,SUP007,Norbert Dentressangle,France,Frozen,Spain,Madrid,2024-01,1,2024-01-07,413,27.22,11243.43,4,4,1,0,1,2.64,1,0,30
ORD00093,SUP008,FM Logistic France,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-03,297,11.23,3336.08,5,5,1,0,1,2.27,1,0,60
ORD00094,SUP008,FM Logistic France,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-23,552,13.54,7474.74,5,5,1,0,1,0.88,1,0,60
ORD00095,SUP008,FM Logistic France,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-10,729,13.11,9560.4,5,5,1,0,1,1.59,1,0,60
ORD00096,SUP008,FM Logistic France,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-18,388,7.67,2977.01,5,5,1,0,1,0.92,1,0,60
ORD00097,SUP008,FM Logistic France,France,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-07,373,18.5,6899.72,5,5,1,0,1,2.29,1,0,60
ORD00098,SUP008,FM Logistic France,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-24,545,18.18,9906.9,5,5,1,0,1,2.28,1,0,60
ORD00099,SUP008,FM Logistic France,France,Dry Goods,France,Paris CDG,2024-01,1,2024-01-27,248,16.0,3966.83,5,5,1,0,1,0.91,1,0,60
ORD00100,SUP008,FM Logistic France,France,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-09,96,14.18,1361.41,5,14,0,9,1,2.83,1,0,60
ORD00101,SUP009,Vos Logistics BV,Netherlands,Dry Goods,France,Paris CDG,2024-01,1,2024-01-19,341,8.75,2983.07,4,4,1,0,1,0.55,1,0,30
ORD00102,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-16,166,14.4,2389.8,4,4,1,0,1,0.22,1,0,30
ORD00103,SUP009,Vos Logistics BV,Netherlands,Dry Goods,France,Paris CDG,2024-01,1,2024-01-05,202,14.96,3021.52,4,4,1,0,0,3.77,1,0,30
ORD00104,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Italy,Milan,2024-01,1,2024-01-25,476,11.89,5660.02,4,4,1,0,1,0.68,1,0,30
ORD00105,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Spain,Madrid,2024-01,1,2024-01-15,354,16.38,5799.79,4,4,1,0,0,5.75,1,0,30
ORD00106,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Italy,Milan,2024-01,1,2024-01-24,151,21.74,3282.8,4,8,0,4,1,0.79,1,0,30
ORD00107,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-06,615,45.61,28049.17,4,4,1,0,1,1.35,1,0,30
ORD00108,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-02,287,19.38,5560.68,4,4,1,0,1,2.58,1,0,30
ORD00109,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-09,690,20.2,13935.24,4,4,1,0,1,0.59,1,0,30
ORD00110,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-21,202,17.11,3455.65,4,7,0,3,1,0.5,1,0,30
ORD00111,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-27,632,6.8,4300.13,4,12,0,8,1,2.07,1,0,30
ORD00112,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-17,602,17.53,10552.1,4,4,1,0,1,0.12,1,0,30
ORD00113,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-20,306,18.31,5601.64,4,4,1,0,1,2.02,1,0,30
ORD00114,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Italy,Milan,2024-01,1,2024-01-01,738,60.86,44913.2,4,4,1,0,1,2.29,1,0,30
ORD00115,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Italy,Milan,2024-01,1,2024-01-21,502,16.14,8099.87,4,7,0,3,0,6.92,1,0,30
ORD00116,SUP009,Vos Logistics BV,Netherlands,Dry Goods,France,Paris CDG,2024-01,1,2024-01-16,406,20.65,8383.74,4,4,1,0,1,0.31,1,0,30
ORD00117,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Spain,Madrid,2024-01,1,2024-01-23,557,17.45,9721.21,4,4,1,0,0,10.32,1,0,30
ORD00118,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Spain,Madrid,2024-01,1,2024-01-03,372,9.9,3684.14,4,4,1,0,1,2.32,1,0,30
ORD00119,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-01,723,31.45,22738.06,4,4,1,0,1,0.16,1,0,30
ORD00120,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Italy,Milan,2024-01,1,2024-01-25,560,25.87,14484.96,4,4,1,0,1,0.61,1,0,30
ORD00121,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-15,765,26.37,20175.8,4,4,1,0,1,1.89,1,0,30
ORD00122,SUP009,Vos Logistics BV,Netherlands,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-06,368,11.28,4149.27,4,4,1,0,1,0.28,0,0,30
ORD00123,SUP009,Vos Logistics BV,Netherlands,Dry Goods,France,Paris CDG,2024-01,1,2024-01-15,170,35.81,6088.18,4,4,1,0,1,2.8,1,0,30
ORD00124,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Spain,Madrid,2024-01,1,2024-01-16,299,9.96,2976.6,2,2,1,0,1,0.57,1,0,30
ORD00125,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Germany,Frankfurt,2024-01,1,2024-01-28,121,26.9,3255.02,2,2,1,0,1,1.24,0,0,30
ORD00126,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Poland,Warsaw,2024-01,1,2024-01-01,339,59.99,20335.73,2,2,1,0,0,8.22,1,0,30
ORD00127,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Spain,Madrid,2024-01,1,2024-01-18,545,12.22,6662.3,2,2,1,0,1,1.63,1,0,30
ORD00128,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Germany,Frankfurt,2024-01,1,2024-01-23,294,15.12,4444.05,2,2,1,0,1,2.33,1,0,30
ORD00129,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Belgium,Brussels,2024-01,1,2024-01-26,440,21.08,9275.9,2,2,1,0,1,2.46,0,0,30
ORD00130,SUP010,Bakker Logistiek BV,Netherlands,Chilled,France,Paris CDG,2024-01,1,2024-01-05,564,15.59,8793.66,2,8,0,6,0,10.87,1,0,30
ORD00131,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Spain,Madrid,2024-01,1,2024-01-01,789,9.24,7286.73,2,2,1,0,0,11.73,1,0,30
ORD00132,SUP010,Bakker Logistiek BV,Netherlands,Chilled,Netherlands,Rotterdam,2024-01,1,2024-01-11,688,20.76,14285.91,2,2,1,0,1,2.56,0,0,30
ORD00133,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Belgium,Brussels,2024-01,1,2024-01-23,549,11.12,6105.15,3,3,1,0,1,0.21,1,0,45
ORD00134,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Germany,Frankfurt,2024-01,1,2024-01-24,142,23.97,3403.17,3,3,1,0,1,1.9,1,0,45
ORD00135,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Belgium,Brussels,2024-01,1,2024-01-10,79,11.94,943.02,3,3,1,0,1,0.88,1,0,45
ORD00136,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Italy,Milan,2024-01,1,2024-01-14,629,41.04,25816.36,3,3,1,0,1,0.53,1,0,45
ORD00137,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Belgium,Brussels,2024-01,1,2024-01-08,559,12.79,7148.49,3,3,1,0,1,1.38,1,0,45
ORD00138,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,France,Paris CDG,2024-01,1,2024-01-26,526,16.1,8468.6,3,3,1,0,1,0.47,1,0,45
ORD00139,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Italy,Milan,2024-01,1,2024-01-10,704,28.4,19997.12,3,15,0,12,1,2.54,1,0,45
ORD00140,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Spain,Madrid,2024-01,1,2024-01-04,292,10.22,2985.26,3,3,1,0,1,0.89,1,1,45
ORD00141,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Poland,Warsaw,2024-01,1,2024-01-22,455,21.19,9643.5,3,3,1,0,1,2.06,1,0,45
ORD00142,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Italy,Milan,2024-01,1,2024-01-24,558,36.35,20284.14,3,3,1,0,1,2.33,1,0,45
ORD00143,SUP011,Jan de Rijk Logistics,Netherlands,Frozen,Germany,Frankfurt,2024-01,1,2024-01-21,244,8.46,2065.22,3,3,1,0,1,2.16,1,0,45
ORD00144,SUP012,Grupo Logista SA,Spain,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-02,366,15.88,5810.32,6,6,1,0,1,1.09,1,0,60
ORD00145,SUP012,Grupo Logista SA,Spain,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-11,475,16.48,7829.14,6,6,1,0,1,1.62,0,0,60
ORD00146,SUP012,Grupo Logista SA,Spain,Dry Goods,Italy,Milan,2024-01,1,2024-01-17,329,21.39,7038.23,6,6,1,0,1,2.47,1,0,60
ORD00147,SUP012,Grupo Logista SA,Spain,Dry Goods,Poland,Warsaw,2024-01,1,2024-01-10,396,7.8,3087.53,6,6,1,0,1,0.23,1,0,60
ORD00148,SUP012,Grupo Logista SA,Spain,Dry Goods,Germany,Frankfurt,2024-01,1,2024-01-28,742,7.48,5550.16,6,6,1,0,0,11.71,1,0,60
ORD00149,SUP012,Grupo Logista SA,Spain,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-03,454,18.79,8529.75,6,6,1,0,1,1.36,1,0,60
ORD00150,SUP012,Grupo Logista SA,Spain,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-09,648,16.79,10880.18,6,6,1,0,1,1.11,1,0,60
ORD00151,SUP012,Grupo Logista SA,Spain,Dry Goods,Spain,Madrid,2024-01,1,2024-01-01,684,16.4,11219.79,6,15,0,9,1,1.83,1,0,60
ORD00152,SUP012,Grupo Logista SA,Spain,Dry Goods,Belgium,Brussels,2024-01,1,2024-01-27,525,17.2,9032.1,6,11,0,5,1,0.35,1,0,60
ORD00153,SUP012,Grupo Logista SA,Spain,Dry Goods,France,Paris CDG,2024-01,1,2024-01-10,554,10.3,5703.98,6,6,1,0,1,1.61,1,0,60
ORD00154,SUP012,Grupo Logista SA,Spain,Dry Goods,Netherlands,Rotterdam,2024-01,1,2024-01-22,763,16.25,12401.5,6,13,0,7,1,2.18,1,0,60
ORD00155,SUP013,Transportes Ochoa,Spain,Chilled,Spain,Madrid,2024-01,1,2024-01-20,467,17.52,8180.35,5,10,0,5,1,1.11,1,0,45
ORD00156,SUP013,Transportes Ochoa,Spain,Chilled,Poland,Warsaw,2024-01,1,2024-01-12,151,10.59,1598.97,5,11,0,6,1,2.93,1,0,45
ORD00157,SUP013,Transportes Ochoa,Spain,Chilled,Germany,Frankfurt,2024-01,1,2024-01-04,515,38.46,19804.84,5,5,1,0,1,1.92,0,1,45
ORD00158,SUP013,Transportes Ochoa,Spain,Chilled,Netherlands,Rotterdam,2024-01,1,2024-01-08,178,19.17,3412.76,5,5,1,0,1,2.49,1,0,45
